INSTRUMENTO,Data,COTA/ELEVATION(m),THERMISTOR/ELECTRICAL RESISTANCE(Ohm),MCA/WATER LEVEL(m),FREQUENCIA/FREQUENCY(Hz),KPA/PRESSURE(kPA),TEMPERATURA/TEMPERATURE(°C),COTA_LOCAL/ELEVATION(m)
BA1-PZE-01 (2),2021-04-10 21:00:00,1.128694981276,2314.127,5.02969498127576,2871.747,49.323100270585,30.965121913105,54.928694981276
BA1-PZE-01 (2),2021-04-11 21:00:00,1.126504221098,2314.541,5.0275042210979,2871.781,49.3016168437925,30.96089769263,54.926504221098
BA1-PZE-01 (2),2021-04-12 21:00:00,1.124308101836,2315.31,5.02530810183626,2871.816,49.2800808637872,30.9530535330002,54.924308101836
BA1-PZE-01 (2),2021-04-13 21:00:00,1.115739085763,2315.393,5.01673908576286,2871.945,49.1960498359451,30.9522070712603,54.915739085763
BA1-PZE-01 (2),2021-04-14 21:00:00,1.116161256403,2315.912,5.01716125640269,2871.94,49.200189801664,30.9469149178283,54.916161256403
BA1-PZE-01 (2),2021-04-15 21:00:00,1.115927838653,2316.488,5.01692783865282,2871.945,49.1979008185105,30.9410431233385,54.915927838653
BA1-PZE-01 (2),2021-04-16 21:00:00,1.118919112862,2316.857,5.01991911286164,2871.901,49.2272343900861,30.9372823770831,54.918919112862
BA1-PZE-01 (2),2021-04-17 21:00:00,1.11583718506,2317.893,5.01683718506016,2871.95,49.1970118349321,30.9267273888288,54.91583718506
BA1-PZE-01 (2),2021-04-18 21:00:00,1.113525697706,2317.994,5.01452569770642,2871.985,49.1743445115761,30.9256986662472,54.913525697706
BA1-PZE-01 (2),2021-04-19 21:00:00,1.121162574403,2318.293,5.0221625744028,2871.871,49.2492346264744,30.9226535386488,54.921162574403
BA1-PZE-01 (2),2021-04-20 21:00:00,1.124303046074,2319.143,5.02530304607358,2871.826,49.2800312850567,30.9139992592861,54.924303046074
BA1-PZE-01 (2),2021-04-22 21:00:00,1.129509808174,2320.402,5.03050980817406,2871.751,49.3310907727835,30.9011873673255,54.929509808174
BA1-PZE-01 (2),2021-04-23 21:00:00,1.134149472862,2320.686,5.03514947286173,2871.682,49.3765890877837,30.8982984060923,54.934149472862
BA1-PZE-01 (2),2021-04-24 21:00:00,1.133477436322,2320.647,5.03447743632205,2871.692,49.3699988421018,30.8986951058372,54.933477436322
BA1-PZE-01 (2),2021-04-25 21:00:00,1.134614877412,2321.458,5.03561487741214,2871.677,49.3811530216594,30.8904473447901,54.934614877412
BA1-PZE-01 (2),2021-04-26 21:00:00,1.131721607761,2322.044,5.03272160776085,2871.722,49.3527805200163,30.8844898415023,54.931721607761
BA1-PZE-01 (2),2021-04-27 21:00:00,1.133470005727,2322.539,5.03447000572677,2871.697,49.3699259748606,30.8794588108377,54.933470005727
BA1-PZE-01 (2),2021-04-28 21:00:00,1.13681381695,2322.639,5.03781381694986,2871.647,49.402716658363,30.8784425889899,54.93681381695
BA1-PZE-01 (2),2021-04-29 21:00:00,1.140194792633,2323.343,5.04119479263273,2871.598,49.43587179068,30.8712897943654,54.940194792633
